Search Term,Tweet Text,URL
propublica,"RT @kiangoh: Let's be real: if all women went on strike, nonprofit &amp; ""service"" sectors would collapse, followed by everything else. #DayWit…",
propublica,"RT @Knightengale: I have had type 1 diabetes for 29 years. Bc of #ACA, I was able to leave an est. co. and work for a nonprofit. #CoverageM…",
propublica,"RT @s_webber: Years ago Eric tried to hire me as ED of his nonprofit. After seeing how shameless he is, I'm so thankful I said no. https://…",
propublica,RT @stfujorian: hehe starts a nonprofit organization at 18 yrs old,
propublica,RT @kylegriffin1: AARP—the nation's largest nonprofit w/ 38MIL members—has officially come out against the Republican health plan. https://…,
propublica,"RT @SmithsonianMag: Nonprofit, Ocearch naming tagged sharks, giving them Twitter, Instagram accounts to ease fears, aid in conservation. ht…",
propublica,RT @kylegriffin1: AARP—the nation's largest nonprofit w/ 38MIL members—has officially come out against the Republican health plan. https://…,
propublica,"RT @Refinery29: Tweet about a women's nonprofit you care about, and tag @Tinder &amp; #FundHerCause for a $100 donation to that cause! #ad #R29…",
propublica,"RT @EdwardNorton: Call out to all nonprofit conservation/climate/sustainability orgs: the #EarthDayChallenge is on.  $300,000 in prize http…",
propublica,RT @kylegriffin1: AARP—the nation's largest nonprofit w/ 38MIL members—has officially come out against the Republican health plan. https://…,
propublica,hehe starts a nonprofit organization at 18 yrs old,
propublica,"RT @AFPJason: Job hopping means there is demand, but it can hurt charities &amp; our relationships with donors. Thanks @AmyEisenstein https://t…",
propublica,Should You Consider a Nonprofit Nursing Home? - https://t.co/AAbUVwCJOY,http://fb.me/6Pa7cFND4
propublica,"$1 donated is a day of 710 promo! Donate $1 to @PEPProgram!! More details here: https://t.co/ZUDuS8NYG4
#Donate #NonProfit #FF",http://www.PeopleEmpowermentProgram.org
propublica,How to  fund its community programs?  @Peoplescommunitymrkt starts a sister #nonprofit   https://t.co/jImg0zIXd8… https://t.co/frvAvWZBEy,http://www.forbes.com/sites/annefield/2017/01/18/peoples-community-market-founders-will-fund-programs-through-their-own-nonprofit/#4bad56da2720
propublica,Nudge-e-not-mics: Sometimes Leaving the Hell Alone is Better https://t.co/fTunEEkrBW #fundraising #behaviorchange… https://t.co/1FVven9X8c,http://bit.ly/2lFqavR
